City ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,panjab,AF,0,1632165214,30,34.388,67.0233,50.59,5.5
68,hilo,US,90,1632165215,78,19.7297,-155.09,74.93,6.91
69,upernavik,GL,100,1632165215,77,72.7868,-56.1549,30.51,8.59
70,barrow,US,90,1632165216,80,71.2906,-156.7887,30.22,20.71
71,tuy hoa,VN,100,1632165216,93,13.0833,109.3,74.88,8.63
72,kloulklubed,PW,100,1632165216,80,7.0419,134.2556,79.43,4.25
73,khovu-aksy,RU,100,1632165217,51,51.1333,93.6,36.23,2.57
74,kudahuvadhoo,MV,7,1632165217,76,2.6708,72.8944,82.36,9.82
75,khatanga,RU,100,1632164650,99,71.9667,102.5,32.43,1.23
76,portland,US,20,1632165049,74,45.5234,-122.6762,64.98,4.61
77,cidreira,BR,91,1632165074,91,-30.1811,-50.2056,69.04,3.65
78,tasiilaq,GL,89,1632165218,66,65.6145,-37.6368,39.36,7.31
79,bredasdorp,ZA,4,1632165219,76,-34.5322,20.0403,49.32,5.75
80,gazanjyk,TM,0,1632165219,24,39.2446,55.5154,75.52,15.14
81,morehead,US,90,1632165221,78,37.2711,-87.1764,80.31,11.5
82,cape town,ZA,20,1632165091,66,-33.9258,18.4232,52.21,9.22
83,carbonia,IT,4,1632165221,76,39.1672,8.5222,74.35,7.81
84,wau,SS,86,1632165222,95,7.7029,27.9953,72.12,4.29
85,ushuaia,AR,100,1632165008,85,-54.8,-68.3,46.02,7.47
86,wadi maliz,TN,100,1632165222,69,36.4681,8.5495,74.86,4.38
87,ziro,IN,40,1632165223,96,27.6333,93.8333,55.76,1.88
88,alofi,NU,75,1632165223,100,-19.0595,-169.9187,73.29,5.75
89,leningradskiy,RU,100,1632165224,85,69.3833,178.4167,20.93,10.54
90,butembo,CD,87,1632165224,92,0.15,29.2833,59.11,2.35
91,moberly,US,40,1632165197,40,39.4184,-92.4382,89.64,12.66
92,dikson,RU,100,1632164689,75,73.5069,80.5464,34.72,7.99
93,luganville,VU,71,1632165225,79,-15.5333,167.1667,74.7,10.87
94,fort-shevchenko,KZ,99,1632165226,53,44.5086,50.263,70.81,7.99
